Any,Precip_Acum_Gener,Precip_Acum_Febrer,Precip_Acum_Marc,Precip_Acum_Abril,Precip_Acum_Maig,Precip_Acum_Juny,Precip_Acum_Juliol,Precip_Acum_Agost,Precip_Acum_Setembre,Precip_Acum_Octubre,Precip_Acum_Novembre,Precip_Acum_Desembre
1786,32.8,28.4,84.4,42.3,  8.5,38.0,  6.8,52.1,62.0,57.0,195.8,114.1
1787,136.4,27.4,44.6,76.9,  0.0,29.8,34.7,14.9,205.8,12.4,42.2,  0.0
1788,  9.9,14.9,32.2,12.4,  7.5,146.3,59.4,29.8,123.9,163.6,106.6,22.3
1789,12.4,12.4,23.6,  9.9,32.2,  9.9,  6.3,69.4,18.7,52.1,18.7,76.9
1790,44.6,  1.2,188.5,74.4,44.7,39.7,65.7,32.3,71.9,205.8,72.0,14.9
1791,  9.9,34.7,  9.9,31.1,148.8,  2.5,  1.2,  1.2,119.0,89.2,109.1,34.7
1792,  8.7,  9.9,27.4,  6.3,19.9,29.8,  2.5,  1.2,86.8,47.1,44.7,  7.5
1793,  1.2,54.6,67.0,94.2,54.6,  7.5,63.2,  4.9,60.8,63.3,218.1,47.1
1794,37.3,  9.9,33.5,14.9,148.8,109.1,  0.0,34.7,49.7,84.3,24.8,106.6
1795,108.0,17.4,19.9,32.3,  0.0,82.0,62.1,  2.5,90.4,32.3,76.9,32.3
1796,43.5,47.1,59.4,111.6,64.5,14.9,  0.0,94.2,42.2,14.9,69.4,62.0
1797,39.7,  4.9,143.8,49.7,106.6,57.0,  0.0,  0.0,52.1,54.6,34.7,12.4
1798,  0.0,  9.9,12.4,46.5,39.4,60.2,35.2,  6.4,84.2,87.6,40.3,74.1
1799,14.6,  0.3,  0.0,81.3,50.0,35.6,32.2,  9.9,57.0,39.7,44.6,141.3
1800,52.1,59.4,39.7,29.8,42.2,44.6,  0.0,  0.0,71.9,121.4,34.7,106.6
1801,  7.5,29.8,79.3,101.6,29.8,34.7,  2.5,  2.5,138.9,163.6,126.5,19.9
1802,94.2,27.4,27.4,32.2,27.4,  1.2,24.8, 2.5,  4.9,146.3,106.6,29.8
1803,74.4,  4.9,69.4,76.9,34.7,  2.5,  4.9,71.9,111.6,52.1,42.2,12.4
1804,25.9,12.4,47.1,66.9,29.8,  1.2,62.0,  2.5,  7.5,151.6,119.0,114.1
1805,49.7,49.7,29.8,  9.9,54.6,37.3,  4.9,69.4,114.1,  4.9,141.3,32.2
1806,69.4,34.7,39.7,126.5,22.3,27.4,19.9,12.4,59.4,44.6,84.3,  1.2
