tipo;Variável;exemplo;descrição
sociodemográfica;usuario;2;código do usuário
sociodemográfica;sexo;M;sexo do usuário
sociodemográfica;idade;57;idade do usuári no primeiro atendimento
sociodemográfica;racacor;99;raça/cor
tratamento;sg_procedimento;GOLI50;medicamento biológico
tratamento;no_diretriz;Espondilite Ancilosante;protocolo clínico
tratamento;qt_aprovada;51;unidades aprovadas
tratamento;nu_tentativa;3;tentativa de medicação biológico segundo a data
tratamento;inicio;2018-02-01;Mês da primeira dispensação
tratamento;meses_tratamento;57;diferença entre o primeiro mês e o último mês de dispensação
tratamento;dispensacoes;51;número de dispensações
gestão;estadual;1;gestão estadual = 1, municipal = 0
gestão;atendimento;354990;município de atendimento
gestão;mesmo_municipio;1;mesmo município de residência e atendimento
sociodemográfica;municipio;354990;município de residência
sociodemográfica;st_capital;0;o município de residência é capital do estado
sociodemográfica;vl_idhm;807;Índice de Desenvolvimento Humano
sociodemográfica;vl_idhm_e;764;Índice de Desenvolvimento Humano Educacional
sociodemográfica;vl_idhm_l;855;Índice de Desenvolvimento Humano Longevidade
sociodemográfica;vl_idhm_r;804;Índice de Desenvolvimento Humano Renda
sociodemográfica;qt_populacao;629921;população segundo censo 2010
sociodemográfica;q_vl_idhm;5;Quintil, segundo biológico e diretriz, do Índice de Desenvolvimento Humano
sociodemográfica;q_vl_idhm_e;5;Quintil, segundo biológico e diretriz, do Índice de Desenvolvimento Humano Educacional
sociodemográfica;q_vl_idhm_l;3;Quintil, segundo biológico e diretriz, do Índice de Desenvolvimento Humano Longevidade
sociodemográfica;q_vl_idhm_r;5;Quintil, segundo biológico e diretriz, do Índice de Desenvolvimento Humano Renda
sociodemográfica;q_qt_populacao;4;Quintil, segundo biológico e diretriz, da população segundo censo 2010
sociodemográfica;q_idade;5;Quintil, segundo biológico e diretriz, da idade
sociodemográfica;q_meses_tratamento;5;Quintil, segundo biológico e diretriz, dos meses de tratamento
sociodemográfica;q_ids_t0;1;Quintil, segundo biológico e diretriz, do Índice de Desenvolvimento Social (CIDACS/FIOCRUZ) https://cidacs.bahia.fiocruz.br/idscovid19/
trajetória terapêutica;adal40a;0;Houve uso do medicamento (veja lista de biológicos)
trajetória terapêutica;adal40b;0;Houve uso do medicamento (veja lista de biológicos)
trajetória terapêutica;adal40;1;Houve uso do medicamento (veja lista de biológicos)
trajetória terapêutica;cert200;0;Houve uso do medicamento (veja lista de biológicos)
trajetória terapêutica;etan25;0;Houve uso do medicamento (veja lista de biológicos)
trajetória terapêutica;etan50a;0;Houve uso do medicamento (veja lista de biológicos)
trajetória terapêutica;etan50;1;Houve uso do medicamento (veja lista de biológicos)
trajetória terapêutica;goli50;0;Houve uso do medicamento (veja lista de biológicos)
trajetória terapêutica;infl1010a;0;Houve uso do medicamento (veja lista de biológicos)
trajetória terapêutica;infl1010;0;Houve uso do medicamento (veja lista de biológicos)
trajetória terapêutica;ritu50050a;0;Houve uso do medicamento (veja lista de biológicos)
trajetória terapêutica;ritu50050;0;Houve uso do medicamento (veja lista de biológicos)
trajetória terapêutica;secu150;0;Houve uso do medicamento (veja lista de biológicos)
trajetória terapêutica;toci204;0;Houve uso do medicamento (veja lista de biológicos)
trajetória terapêutica;usteq45;0;Houve uso do medicamento (veja lista de biológicos)
trajetória terapêutica;abat125;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;abat250;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;acit10;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;acit25;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;alen10;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;alen70;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;alfa4000;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;ator10;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;ator20;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;ator40;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;azat50;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;calc025;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;calc5030;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;ciclosp100;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;ciclosp50;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;cipr100;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;citr5;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;clob0530;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;clor150;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;code30;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;form1240060;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;form12400;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;gaba300;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;hidr400;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;isot20;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;lefl20;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;mesa1000;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;mesa1100;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;mesa250;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;mesa400;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;mesa500;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;mesa800;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;meto252;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;meto25;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;napr500;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;quet100;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;ralo60;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;rise35;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;saca1005;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;sulf500;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;timo505;0;Houve uso do medicamento (veja lista de medicamentos)
trajetória terapêutica;upmgpoco15;0;Houve uso do medicamento (veja lista de medicamentos)
grupo de procedimento;s20101;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20202;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20203;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20204;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20205;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20206;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20208;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20302;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20402;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20403;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20404;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20406;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20501;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20502;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20601;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20602;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20603;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20701;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20702;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20703;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20801;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20805;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s20901;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s21102;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s21106;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s21107;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s21401;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s30101;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s30106;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s30107;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s30108;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s30110;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s30205;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s30206;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s30309;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s30401;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s30402;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s30405;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s30903;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s40101;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s40503;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s40505;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s41701;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s50601;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s70101;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s70102;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s70103;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s70107;0;Houve o grupo de procedimento (veja lista de grupos)
grupo de procedimento;s80301;0;Houve o grupo de procedimento (veja lista de grupos)
dosagem bioquímica;s202010120;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010201;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010210;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010228;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010279;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010287;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010295;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010317;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010325;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010384;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010392;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010422;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010430;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010465;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010473;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010503;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010562;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010600;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010619;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010635;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010643;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010651;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010678;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010694;0;Houve o procedimento (veja lista de procedimentos)
dosagem bioquímica;s202010767;0;Houve o procedimento (veja lista de procedimentos)
diagnósticos;db18;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dc50;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dd50;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;de22;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;de78;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;df20;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;df31;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dg20;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dg30;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dg40;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dh25;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dh26;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dh30;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dh35;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dh36;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dh40;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dh52;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dh90;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dh91;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;di10;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;di20;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;di21;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;di25;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dj44;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dj45;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dk29;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dk50;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dk51;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dl40;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dl70;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dl73;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm05;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm06;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm07;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm08;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm17;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm19;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm23;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm25;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm32;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm33;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm45;1;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm46;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm51;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm54;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm75;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm79;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm80;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm81;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dm82;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dn18;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dn20;0;A doença está listada no histórico do usuário (veja lista de doença)
